Net Profit: All,Net Profit %: All,Net Profit: Long,Net Profit %: Long,Net Profit: Short,Net Profit %: Short,Gross Profit: All,Gross Profit %: All,Gross Profit: Long,Gross Profit %: Long,Gross Profit: Short,Gross Profit %: Short,Gross Loss: All,Gross Loss %: All,Gross Loss: Long,Gross Loss %: Long,Gross Loss: Short,Gross Loss %: Short,Max Run-up,Max Run-up %,Max Drawdown,Max Drawdown %,Buy & Hold Return,Buy & Hold Return %,Sharpe Ratio,Sortino Ratio,Profit Factor: All,Profit Factor: Long,Profit Factor: Short,Max Contracts Held: All,Max Contracts Held: Long,Max Contracts Held: Short,Open PL,Open PL %,Commission Paid: All,Commission Paid: Long,Commission Paid: Short,Total Closed Trades: All,Total Closed Trades: Long,Total Closed Trades: Short,Total Open Trades: All,Total Open Trades: Long,Total Open Trades: Short,Number Winning Trades: All,Number Winning Trades: Long,Number Winning Trades: Short,Number Losing Trades: All,Number Losing Trades: Long,Number Losing Trades: Short,Percent Profitable: All,Percent Profitable: Long,Percent Profitable: Short,Avg Trade: All,Avg Trade %: All,Avg Trade: Long,Avg Trade %: Long,Avg Trade: Short,Avg Trade %: Short,Avg Winning Trade: All,Avg Winning Trade %: All,Avg Winning Trade: Long,Avg Winning Trade %: Long,Avg Winning Trade: Short,Avg Winning Trade %: Short,Avg Losing Trade: All,Avg Losing Trade %: All,Avg Losing Trade: Long,Avg Losing Trade %: Long,Avg Losing Trade: Short,Avg Losing Trade %: Short,Ratio Avg Win / Avg Loss: All,Ratio Avg Win / Avg Loss: Long,Ratio Avg Win / Avg Loss: Short,Largest Winning Trade: All,Largest Winning Trade %: All,Largest Winning Trade: Long,Largest Winning Trade %: Long,Largest Winning Trade: Short,Largest Winning Trade %: Short,Largest Losing Trade: All,Largest Losing Trade %: All,Largest Losing Trade: Long,Largest Losing Trade %: Long,Largest Losing Trade: Short,Largest Losing Trade %: Short,Avg # Bars in Trades: All,Avg # Bars in Trades: Long,Avg # Bars in Trades: Short,Avg # Bars in Winning Trades: All,Avg # Bars in Winning Trades: Long,Avg # Bars in Winning Trades: Short,Avg # Bars in Losing Trades: All,Avg # Bars in Losing Trades: Long,Avg # Bars in Losing Trades: Short,Margin Calls: All,Margin Calls: Long,Margin Calls: Short,comment,__Start Date,__Start Month,__Start Year,__End Date,__End Month,__End Year,__USE SPECIFIC DATE ?,__LOTS,__Leverage,__LONG_ONLY ?,__DEMA_length,__Pivot Point Period,__ATR Factor,__ATR Period,__Length,__Slope,__Slope Calculation Method,__Show Only Confirmed Breakouts,__SL_METHOD,__LOWEST_SL_LOOKBACK,__PREVIOUS_SL_RR,__ATR_LENGTH,__ATR_SMOOTHING,__ATR_MUL_SL,__ATR_MUL_TP,__% TP 1,__% TP 2,__% SL
3841.81,384.18,2299.07,229.91,1542.75,154.27,7507.24,750.72,3935.93,393.59,3571.31,357.13,3665.43,366.54,1636.87,163.69,2028.56,202.86,3972.72,80.2,220.37,9.86,917.6,91.76,0.625,2.224,2.048,2.405,1.761,0,0,0,9.51,0.2,351.06,168.99,182.08,951,435,516,1,1,0,353,159,194,598,276,322,37.12,36.55,37.6,4.04,1.59,5.29,1.99,2.99,1.27,21.27,7.34,24.75,8.33,18.41,6.53,6.13,1.8,5.93,1.67,6.3,1.9,3.47,4.174,2.922,322.34,79.94,322.34,79.94,137.76,33.85,60.39,7.56,23.7,3.02,60.39,7.56,37,38,35,72,74,69,16,18,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,5,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,5.3,18,2.3
3275.59,327.56,2266.95,226.69,1008.65,100.86,7644.35,764.43,4223.46,422.35,3420.89,342.09,4368.76,436.88,1956.51,195.65,2412.25,241.22,3387.45,77.21,221.7,17.62,917.74,91.77,0.541,1.37,1.75,2.159,1.418,0,0,0,9.25,0.22,370.78,182.96,187.82,1006,480,526,1,1,0,408,203,205,598,277,321,40.56,42.29,38.97,3.26,1.52,4.72,2.01,1.92,1.08,18.74,6.69,20.81,7.28,16.69,6.12,7.31,2.01,7.06,1.85,7.51,2.14,2.565,2.946,2.221,228.6,55.97,228.6,55.97,137.64,33.65,60.39,7.56,23.7,3.4,60.39,7.56,35,36,34,61,61,62,17,18,16,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,2,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,3.3,18,3.3
3463.81,346.38,2158.36,215.84,1305.45,130.54,6738.07,673.81,3718.32,371.83,3019.74,301.97,3274.26,327.43,1559.96,156,1714.3,171.43,3563.27,78.79,224.33,9.55,917.09,91.71,0.589,2,2.058,2.384,1.762,0,0,0,30.42,0.68,274.16,136.24,137.92,633,307,326,1,0,1,288,140,148,345,167,178,45.5,45.6,45.4,5.47,2.52,7.03,2.93,4,2.14,23.4,8.08,26.56,8.85,20.4,7.35,9.49,2.12,9.34,2.04,9.63,2.2,2.465,2.843,2.119,305.53,75.11,305.53,75.11,176.91,44.65,33.5,5.1,33.5,5.1,30.05,5.1,53,55,50,87,92,81,24,24,25,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,9,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,5.3,18,5
3546.46,354.65,2111.66,211.17,1434.79,143.48,7009.38,700.94,3614.85,361.49,3394.53,339.45,3462.92,346.29,1503.19,150.32,1959.73,195.97,3687.3,79.13,232.55,12.64,916.98,91.7,0.583,1.837,2.024,2.405,1.732,0,0,0,8.94,0.2,295.72,141.3,154.42,748,333,415,1,1,0,309,134,175,439,199,240,41.31,40.24,42.17,4.74,2,6.34,2.48,3.46,1.62,22.68,7.83,26.98,8.95,19.4,6.97,7.89,2.1,7.55,1.88,8.17,2.28,2.876,3.571,2.376,295.7,73.33,295.7,73.33,134.58,32.91,60.39,7.56,23.7,3.4,60.39,7.56,46,48,45,82,87,79,20,21,20,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,6,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,2.3,18,3.3
3988.84,398.88,2570.11,257.01,1418.74,141.87,7794.54,779.45,4198.34,419.83,3596.2,359.62,3805.7,380.57,1628.24,162.82,2177.46,217.75,4124.78,80.92,239.5,12.78,916.95,91.7,0.59,2.048,2.048,2.578,1.652,0,0,0,8.93,0.18,336.11,162.38,173.72,846,385,461,1,1,0,367,172,195,479,213,266,43.38,44.68,42.3,4.71,1.99,6.68,2.65,3.08,1.43,21.24,7.36,24.41,8.27,18.44,6.55,7.95,2.13,7.64,1.89,8.19,2.32,2.673,3.193,2.253,209.53,51.3,209.53,51.3,138.82,34.02,25.7,3.9,23.7,3.4,25.7,3.9,41,43,39,69,71,68,19,21,18,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,4,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,5.3,18,3.3
3978.57,397.86,2344.72,234.47,1633.85,163.39,7526.27,752.63,3888.65,388.87,3637.61,363.76,3547.7,354.77,1543.94,154.39,2003.76,200.38,4122.38,81.04,246.69,7.68,917.06,91.71,0.672,2.82,2.121,2.519,1.815,0,0,0,8.97,0.18,298.24,142.77,155.47,686,305,381,1,1,0,321,138,183,365,167,198,46.79,45.25,48.03,5.8,2.57,7.69,3.18,4.29,2.07,23.45,8.05,28.18,9.33,19.88,7.09,9.72,2.26,9.25,1.9,10.12,2.57,2.412,3.048,1.964,305.87,75.85,305.87,75.85,134.58,32.91,30.05,4.4,29.46,4.4,30.05,4.4,50,52,48,81,87,77,22,23,21,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,5,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,6,18,4.3
3351.92,335.19,2112.01,211.2,1239.9,123.99,7081.27,708.13,3743.18,374.32,3338.09,333.81,3729.35,372.94,1631.16,163.12,2098.19,209.82,3496.95,78.38,248.2,7.75,916.91,91.69,0.595,1.949,1.899,2.295,1.591,0,0,0,8.91,0.2,302.95,146.93,156.02,695,320,375,1,1,0,306,139,167,389,181,208,44.03,43.44,44.53,4.82,2.21,6.6,2.8,3.31,1.7,23.14,7.93,26.93,9,19.99,7.04,9.59,2.29,9.01,1.96,10.09,2.58,2.414,2.988,1.982,245.12,60.89,245.12,60.89,178.31,45,31.35,4.4,29.46,4.4,31.35,4.4,49,51,47,82,86,79,22,24,21,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,9,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,6,18,4.3
3212.22,321.22,2051.05,205.1,1161.17,116.12,6343.39,634.34,3491.27,349.13,2852.12,285.21,3131.17,313.12,1440.22,144.02,1690.95,169.1,3271.16,76.59,253.19,15.45,916.76,91.68,0.532,1.402,2.026,2.424,1.687,0,0,0,30.52,0.72,302.93,149.17,153.76,897,426,471,1,0,1,322,154,168,575,272,303,35.9,36.15,35.67,3.58,1.47,4.81,1.85,2.47,1.12,19.7,7.05,22.67,7.85,16.98,6.31,5.45,1.65,5.29,1.54,5.58,1.75,3.618,4.282,3.042,254.19,63.94,254.19,63.94,129.45,31.84,60.39,7.56,23.7,3.02,60.39,7.56,38,40,36,79,83,75,15,16,15,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,8,5,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,3.3,18,2.3
4123.63,412.36,2645.59,264.56,1478.04,147.8,7900.93,790.09,4368.79,436.88,3532.15,353.21,3777.3,377.73,1723.2,172.32,2054.11,205.41,4254.57,81.27,254.55,9.25,917.26,91.73,0.629,2.845,2.092,2.535,1.72,0,0,0,9.37,0.18,362.95,179.43,183.52,982,466,516,1,1,0,371,181,190,611,285,326,37.78,38.84,36.82,4.2,1.63,5.68,2.08,2.86,1.23,21.3,7.32,24.14,8.07,18.59,6.6,6.18,1.82,6.05,1.72,6.3,1.91,3.445,3.992,2.95,279.83,69.4,279.83,69.4,133.26,33.89,60.39,7.56,23.7,3.02,60.39,7.56,36,38,34,70,73,66,15,16,14,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,8,3.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,5.3,18,2.3
3185.77,318.58,2005.11,200.51,1180.66,118.07,6949.99,695,3726.45,372.65,3223.53,322.35,3764.22,376.42,1721.34,172.13,2042.87,204.29,3332.06,77.55,254.65,7.75,917.23,91.72,0.571,1.87,1.846,2.165,1.578,0,0,0,9.04,0.22,299.94,144.6,155.34,693,319,374,1,1,0,297,135,162,396,184,212,42.86,42.32,43.32,4.6,2.11,6.29,2.63,3.16,1.66,23.4,7.99,27.6,9.13,19.9,7.04,9.51,2.31,9.36,2.13,9.64,2.46,2.462,2.951,2.065,281.24,69.75,281.24,69.75,177.97,44.91,31.35,4.4,31.02,4.4,31.35,4.4,49,51,47,83,89,79,22,23,22,0,0,0,All parameters are changed randomly,28,5,2022,28,5,2023,0,10,8,0,50,10,4.25,10,12,1,Atr,0,SL@CUSTOM,51,20,21,RMA,2,3,6,18,4.3
